優先,ファイル名,人物,カード名,勢力,勢力色,兵種,役割,コスト,武勇,知略,必殺技,台詞,装いの手掛かり,気配の手掛かり
3,高順.png,高順,高順〔陥陣〕,群雄,#8a7640 黄土,歩兵・槍持ち,火力,4,86,60,陥陣営,陥陣営、攻めて落とせぬ陣はない！,徒歩の重装。長柄か大刀、厚い胴鎧,攻めの気迫。得物を構え、前へ出る姿勢
3,傅僉.png,傅僉,傅僉〔守将〕,蜀,#47825a 緑,歩兵・槍持ち,耐久,3,81,58,堅守,この関は、命に代えても守る！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,周倉.png,周倉,周倉〔刀持ち〕,蜀,#47825a 緑,歩兵,耐久,3,72,28,捨て身の盾,関公の青龍刀は、わしが担ぐ！,徒歩の重装。長柄か大刀、厚い胴鎧,どっしり構える。盾・鎧が厚く、動じない目
3,廖化.png,廖化,廖化〔老将〕,蜀,#47825a 緑,騎兵,火力,3,71,60,殿軍,先鋒廖化、まだまだ若い者には負けん！,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,攻めの気迫。得物を構え、前へ出る姿勢
3,陳武.png,陳武,陳武〔廬江〕,呉,#a04343 朱赤,歩兵,火力,3,70,30,廬江の突入,先陣だけは、誰にも譲らん！,徒歩の重装。長柄か大刀、厚い胴鎧,攻めの気迫。得物を構え、前へ出る姿勢
3,呉懿.png,呉懿,呉懿〔外戚〕,蜀,#47825a 緑,騎兵,均衡,2,76,68,堅陣,外戚と侮るな。戦場では槍がすべてよ。,騎乗を思わせる軽快な装い。馬具・鞭・翻るマント,隙のない構え。攻守どちらにも見える自然体
3,董襲.png,董襲,董襲〔断纜〕,呉,#a04343 朱赤,歩兵,火力,2,82,48,断纜,纜を断て！　退路など要らん！,徒歩の重装。長柄か大刀、厚い胴鎧,攻めの気迫。得物を構え、前へ出る姿勢
3,蒋琬.png,蒋琬,蒋琬〔社稷〕,蜀,#47825a 緑,弓兵,支援,2,28,78,丞相の遺法,急がず、乱さず、絶やさず。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,鄧芝.png,鄧芝,鄧芝〔外交〕,蜀,#47825a 緑,弓兵,支援,2,35,75,同盟の使者,呉と蜀は、唇と歯の間柄なり。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,張宝.png,張宝,張宝〔地公将軍〕,群雄,#8a7640 黄土,弓兵,支援,1,45,60,妖術の霧,黄天の力、とくと見よ。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
3,簡雍.png,簡雍,簡雍〔憲和〕,蜀,#47825a 緑,歩兵,支援,1,30,74,弁舌,まあまあ、話せば分かる。……分からねば戦うまで。,徒歩の重装。長柄か大刀、厚い胴鎧,落ち着いた佇まい。書物・扇・采配など知の小物
3,闞沢.png,闞沢,闞沢〔詐降の証〕,呉,#a04343 朱赤,弓兵,支援,1,15,78,詐降の書,偽りの降書に、この命を賭けよう。,弓か弩を携える。軽装で身軽、遠くを見る目,落ち着いた佇まい。書物・扇・采配など知の小物
